ID del producto,Nombre del producto,ID de la familia de producto,Persona física sin actividad empresarial,Persona moral,Persona física con actividad empresarial
PRD001,Cuenta Naranja Full,FAM001,TRUE,TRUE,TRUE
PRD002,Cuenta Naranja Flex,FAM001,TRUE,TRUE,TRUE
PRD003,Cuenta Naranja Negocios Full,FAM001,TRUE,TRUE,TRUE
PRD004,Cuenta Naranja Negocios Flex,FAM001,TRUE,TRUE,TRUE
PRD005,Otra cuenta,FAM001,TRUE,TRUE,TRUE
PRD006,Colección TDD,FAM001,TRUE,TRUE,TRUE
PRD007,Cuenta Naranja Lite,FAM001,TRUE,TRUE,TRUE
PRD008,Cuenta Naranja Digital,FAM001,TRUE,TRUE,TRUE
PRD009,Cuenta Naranja Dólares,FAM001,TRUE,TRUE,TRUE
PRD010,Cuenta Naranja Lite +,FAM001,TRUE,TRUE,TRUE
PRD011,Tarjeta Exchange,FAM001,TRUE,TRUE,TRUE
PRD012,Cuenta Negocios Plus,FAM001,TRUE,TRUE,TRUE
PRD013,Cuenta Flex Digital,FAM001,TRUE,TRUE,TRUE
PRD014,Pagaré,FAM002,TRUE,TRUE,TRUE
PRD015,Cedes,FAM002,TRUE,TRUE,TRUE
PRD016,Fondos de inversión,FAM002,TRUE,TRUE,TRUE
PRD017,Mesa de dinero,FAM002,TRUE,TRUE,TRUE
PRD018,Banca en Línea,FAM003,TRUE,TRUE,TRUE
PRD019,BE Lite,FAM003,TRUE,TRUE,TRUE
PRD020,TDC en Línea,FAM003,TRUE,TRUE,TRUE
PRD021,Comercio en Línea,FAM003,TRUE,TRUE,TRUE
PRD022,Comunidad,FAM003,TRUE,TRUE,TRUE
PRD023,Token Móvil,FAM003,TRUE,TRUE,TRUE
PRD024,BE Web,FAM003,TRUE,TRUE,TRUE
PRD025,Asesoría Digital,FAM003,TRUE,TRUE,TRUE
PRD026,Token Físico,FAM003,TRUE,TRUE,TRUE
PRD027,BE Avanzada,FAM003,TRUE,TRUE,TRUE
PRD028,BE Empresarial,FAM003,TRUE,TRUE,TRUE
PRD029,Platinum,FAM004,TRUE,TRUE,TRUE
PRD030,Más,FAM004,TRUE,TRUE,TRUE
PRD031,Gold,FAM004,TRUE,TRUE,TRUE
PRD032,Clásica,FAM004,TRUE,TRUE,TRUE
PRD033,Colección TDC,FAM004,TRUE,TRUE,TRUE
PRD034,Acceso Gold,FAM004,TRUE,TRUE,TRUE
PRD035,Básica,FAM004,TRUE,TRUE,TRUE
PRD036,Tarjeta Clásica,FAM004,TRUE,TRUE,TRUE
PRD037,Adquisición Casa,FAM005,TRUE,TRUE,TRUE
PRD038,Adquisición Terreno,FAM005,TRUE,TRUE,TRUE
PRD039,Sustitución Hipoteca,FAM005,TRUE,TRUE,TRUE
PRD040,Construcción,FAM005,TRUE,TRUE,TRUE
PRD041,Liquidez,FAM005,TRUE,TRUE,TRUE
PRD042,Remodelación,FAM005,TRUE,TRUE,TRUE
